"site","year","specie","count","prop"
"Cfall",1995,"Aedes.sollicitans",0,0
"Cfall",1995,"Aedes.stimulans",0,0
"Cfall",1995,"Aedes.sticticus",0,0
"Cfall",1995,"Aedes.triseriatus",0,0
"Cfall",1995,"Aedes.trivittatus",14,0.00902061855670103
"Cfall",1995,"Aedes.vexans",741,0.477448453608247
"Cfall",1995,"Aedes.vexans.nipponii",0,0
"Cfall",1995,"Anopheles.barberi",0,0
"Cfall",1995,"Anopheles.punctipennis",2,0.00128865979381443
"Cfall",1995,"Anopheles.quadrimaculatus",0,0
"Cfall",1995,"Anopheles.walkeri",0,0
"Cfall",1995,"Coquilletidia.perturbans",13,0.00837628865979381
"Cfall",1995,"Culex.erraticus",0,0
"Cfall",1995,"Culex.pipiens.group",760,0.489690721649485
"Cfall",1995,"Culex.salinarius",0,0
"Cfall",1995,"Culex.tarsalis",8,0.00515463917525773
"Cfall",1995,"Culex.territans",0,0
"Cfall",1995,"Culiseta.impatiens",0,0
"Cfall",1995,"Culiseta.inornata",10,0.00644329896907216
"Cfall",1995,"Culiseta.minnesotae",0,0
"Cfall",1995,"Orthopodomyia.alba",0,0
"Cfall",1995,"Orthopodomyia.signifera",0,0
"Cfall",1995,"Psorophora.ciliata",0,0
"Cfall",1995,"Psorophora.columbiae",0,0
"Cfall",1995,"Psorophora.cyanescens",0,0
"Cfall",1995,"Psorophora.ferox",0,0
"Cfall",1995,"Psorophora.horrida",0,0
"Cfall",1995,"Psorophora.signipennis",0,0
"Cfall",1995,"Uranotaenia.sapphirina",3,0.00193298969072165
"Cfall",1996,"Aedes.albopictus",0,0
"Cfall",1996,"Aedes.atropalpus",0,0
"Cfall",1996,"Aedes.canadensis",0,0
"Cfall",1996,"Aedes.dorsalis",0,0
"Cfall",1996,"Aedes.hendersoni",0,0
"Cfall",1996,"Aedes.japonicus",0,0
"Cfall",1996,"Aedes.nigromaculis",0,0
"Cfall",1996,"Aedes.sollicitans",1,0.000655307994757536
"Cfall",1996,"Aedes.stimulans",0,0
"Cfall",1996,"Aedes.sticticus",0,0
"Cfall",1996,"Aedes.triseriatus",0,0
"Cfall",1996,"Aedes.trivittatus",63,0.0412844036697248
"Cfall",1996,"Aedes.vexans",992,0.650065530799476
"Cfall",1996,"Aedes.vexans.nipponii",0,0
"Cfall",1996,"Anopheles.barberi",0,0
"Cfall",1996,"Anopheles.punctipennis",1,0.000655307994757536
"Cfall",1996,"Anopheles.quadrimaculatus",0,0
"Cfall",1996,"Anopheles.walkeri",0,0
"Cfall",1996,"Coquilletidia.perturbans",51,0.0334207077326343
"Cfall",1996,"Culex.erraticus",0,0
"Cfall",1996,"Culex.pipiens.group",396,0.259501965923984
"Cfall",1996,"Culex.salinarius",0,0
"Cfall",1996,"Culex.tarsalis",8,0.00524246395806029
"Cfall",1996,"Culex.territans",0,0
"Cfall",1996,"Culiseta.impatiens",0,0
"Cfall",1996,"Culiseta.inornata",14,0.00917431192660551
"Cfall",1996,"Culiseta.minnesotae",0,0
"Cfall",1996,"Orthopodomyia.alba",0,0
"Cfall",1996,"Orthopodomyia.signifera",0,0
"Cfall",1996,"Psorophora.ciliata",0,0
"Cfall",1996,"Psorophora.columbiae",0,0
"Cfall",1996,"Psorophora.cyanescens",0,0
"Cfall",1996,"Psorophora.ferox",0,0
"Cfall",1996,"Psorophora.horrida",0,0
"Cfall",1996,"Psorophora.signipennis",0,0
"Cfall",1996,"Uranotaenia.sapphirina",0,0
"Cfall",1997,"Aedes.albopictus",0,0
"Cfall",1997,"Aedes.atropalpus",0,0
"Cfall",1997,"Aedes.canadensis",0,0
"Cfall",1997,"Aedes.dorsalis",1,0.000478927203065134
"Cfall",1997,"Aedes.hendersoni",0,0
"Cfall",1997,"Aedes.japonicus",0,0
"Cfall",1997,"Aedes.nigromaculis",0,0
"Cfall",1997,"Aedes.sollicitans",0,0
"Cfall",1997,"Aedes.stimulans",0,0
"Cfall",1997,"Aedes.sticticus",0,0
"Cfall",1997,"Aedes.triseriatus",29,0.0138888888888889
"Cfall",1997,"Aedes.trivittatus",37,0.01772030651341
"Cfall",1997,"Aedes.vexans",1945,0.931513409961686
"Cfall",1997,"Aedes.vexans.nipponii",0,0
"Cfall",1997,"Anopheles.barberi",0,0
"Cfall",1997,"Anopheles.punctipennis",2,0.000957854406130268
"Cfall",1997,"Anopheles.quadrimaculatus",0,0
"Cfall",1997,"Anopheles.walkeri",0,0
"Cfall",1997,"Coquilletidia.perturbans",6,0.0028735632183908
"Cfall",1997,"Culex.erraticus",0,0
"Cfall",1997,"Culex.pipiens.group",54,0.0258620689655172
"Cfall",1997,"Culex.salinarius",0,0
"Cfall",1997,"Culex.tarsalis",12,0.00574712643678161
"Cfall",1997,"Culex.territans",0,0
"Cfall",1997,"Culiseta.impatiens",0,0
"Cfall",1997,"Culiseta.inornata",2,0.000957854406130268
"Cfall",1997,"Culiseta.minnesotae",0,0
"Cfall",1997,"Orthopodomyia.alba",0,0
"Cfall",1997,"Orthopodomyia.signifera",0,0
"Cfall",1997,"Psorophora.ciliata",0,0
"Cfall",1997,"Psorophora.columbiae",0,0
"Cfall",1997,"Psorophora.cyanescens",0,0
"Cfall",1997,"Psorophora.ferox",0,0
"Cfall",1997,"Psorophora.horrida",0,0
"Cfall",1997,"Psorophora.signipennis",0,0
"Cfall",1997,"Uranotaenia.sapphirina",0,0
"Cfall",1998,"Aedes.albopictus",0,0
"Cfall",1998,"Aedes.atropalpus",0,0
"Cfall",1998,"Aedes.canadensis",0,0
"Cfall",1998,"Aedes.dorsalis",0,0
"Cfall",1998,"Aedes.hendersoni",0,0
"Cfall",1998,"Aedes.japonicus",0,0
"Cfall",1998,"Aedes.nigromaculis",0,0
"Cfall",1998,"Aedes.sollicitans",0,0
"Cfall",1998,"Aedes.stimulans",0,0
"Cfall",1998,"Aedes.sticticus",0,0
"Cfall",1998,"Aedes.triseriatus",2,0.000891662951404369
"Cfall",1998,"Aedes.trivittatus",331,0.147570218457423
"Cfall",1998,"Aedes.vexans",1817,0.810075791350869
"Cfall",1998,"Aedes.vexans.nipponii",0,0
"Cfall",1998,"Anopheles.barberi",0,0
"Cfall",1998,"Anopheles.punctipennis",26,0.0115916183682568
"Cfall",1998,"Anopheles.quadrimaculatus",0,0
"Cfall",1998,"Anopheles.walkeri",0,0
"Cfall",1998,"Coquilletidia.perturbans",10,0.00445831475702185
"Cfall",1998,"Culex.erraticus",0,0
"Cfall",1998,"Culex.pipiens.group",47,0.0209540793580027
"Cfall",1998,"Culex.salinarius",0,0
"Cfall",1998,"Culex.tarsalis",8,0.00356665180561748
"Cfall",1998,"Culex.territans",0,0
"Cfall",1998,"Culiseta.impatiens",0,0
"Cfall",1998,"Culiseta.inornata",2,0.000891662951404369
"Cfall",1998,"Culiseta.minnesotae",0,0
"Cfall",1998,"Orthopodomyia.alba",0,0
"Cfall",1998,"Orthopodomyia.signifera",0,0
"Cfall",1998,"Psorophora.ciliata",0,0
"Cfall",1998,"Psorophora.columbiae",0,0
"Cfall",1998,"Psorophora.cyanescens",0,0
"Cfall",1998,"Psorophora.ferox",0,0
"Cfall",1998,"Psorophora.horrida",0,0
"Cfall",1998,"Psorophora.signipennis",0,0
"Cfall",1998,"Uranotaenia.sapphirina",0,0
"Cfall",1999,"Aedes.albopictus",0,0
"Cfall",1999,"Aedes.atropalpus",0,0
"Cfall",1999,"Aedes.canadensis",0,0
"Cfall",1999,"Aedes.dorsalis",0,0
"Cfall",1999,"Aedes.hendersoni",0,0
"Cfall",1999,"Aedes.japonicus",0,0
"Cfall",1999,"Aedes.nigromaculis",0,0
"Cfall",1999,"Aedes.sollicitans",0,0
"Cfall",1999,"Aedes.stimulans",0,0
"Cfall",1999,"Aedes.sticticus",0,0
"Cfall",1999,"Aedes.triseriatus",2,0.00332778702163062
"Cfall",1999,"Aedes.trivittatus",79,0.131447587354409
"Cfall",1999,"Aedes.vexans",442,0.735440931780366
"Cfall",1999,"Aedes.vexans.nipponii",0,0
"Cfall",1999,"Anopheles.barberi",0,0
"Cfall",1999,"Anopheles.punctipennis",5,0.00831946755407654
"Cfall",1999,"Anopheles.quadrimaculatus",1,0.00166389351081531
"Cfall",1999,"Anopheles.walkeri",2,0.00332778702163062
"Cfall",1999,"Coquilletidia.perturbans",3,0.00499168053244592
"Cfall",1999,"Culex.erraticus",0,0
"Cfall",1999,"Culex.pipiens.group",57,0.0948419301164725
"Cfall",1999,"Culex.salinarius",0,0
"Cfall",1999,"Culex.tarsalis",5,0.00831946755407654
"Cfall",1999,"Culex.territans",0,0
"Cfall",1999,"Culiseta.impatiens",0,0
"Cfall",1999,"Culiseta.inornata",3,0.00499168053244592
"Cfall",1999,"Culiseta.minnesotae",0,0
"Cfall",1999,"Orthopodomyia.alba",0,0
"Cfall",1999,"Orthopodomyia.signifera",0,0
"Cfall",1999,"Psorophora.ciliata",1,0.00166389351081531
"Cfall",1999,"Psorophora.columbiae",0,0
"Cfall",1999,"Psorophora.cyanescens",0,0
"Cfall",1999,"Psorophora.ferox",0,0
"Cfall",1999,"Psorophora.horrida",1,0.00166389351081531
"Cfall",1999,"Psorophora.signipennis",0,0
"Cfall",1999,"Uranotaenia.sapphirina",0,0
"Cfall",2000,"Aedes.albopictus",0,0
"Cfall",2000,"Aedes.atropalpus",0,0
"Cfall",2000,"Aedes.canadensis",0,0
"Cfall",2000,"Aedes.dorsalis",2,0.0022271714922049
"Cfall",2000,"Aedes.hendersoni",0,0
"Cfall",2000,"Aedes.japonicus",0,0
"Cfall",2000,"Aedes.nigromaculis",0,0
"Cfall",2000,"Aedes.sollicitans",0,0
"Cfall",2000,"Aedes.stimulans",0,0
"Cfall",2000,"Aedes.sticticus",0,0
"Cfall",2000,"Aedes.triseriatus",5,0.00556792873051225
"Cfall",2000,"Aedes.trivittatus",35,0.0389755011135857
"Cfall",2000,"Aedes.vexans",814,0.906458797327394
"Cfall",2000,"Aedes.vexans.nipponii",0,0
"Cfall",2000,"Anopheles.barberi",0,0
"Cfall",2000,"Anopheles.punctipennis",17,0.0189309576837416
"Cfall",2000,"Anopheles.quadrimaculatus",0,0
"Cfall",2000,"Anopheles.walkeri",0,0
"Cfall",2000,"Coquilletidia.perturbans",0,0
"Cfall",2000,"Culex.erraticus",0,0
"Cfall",2000,"Culex.pipiens.group",19,0.0211581291759465
"Cfall",2000,"Culex.salinarius",0,0
"Cfall",2000,"Culex.tarsalis",5,0.00556792873051225
"Cfall",2000,"Culex.territans",1,0.00111358574610245
"Cfall",2000,"Culiseta.impatiens",0,0
"Cfall",2000,"Culiseta.inornata",0,0
"Cfall",2000,"Culiseta.minnesotae",0,0
"Cfall",2000,"Orthopodomyia.alba",0,0
"Cfall",2000,"Orthopodomyia.signifera",0,0
"Cfall",2000,"Psorophora.ciliata",0,0
"Cfall",2000,"Psorophora.columbiae",0,0
"Cfall",2000,"Psorophora.cyanescens",0,0
"Cfall",2000,"Psorophora.ferox",0,0
"Cfall",2000,"Psorophora.horrida",0,0
"Cfall",2000,"Psorophora.signipennis",0,0
"Cfall",2000,"Uranotaenia.sapphirina",0,0
"Cfall",2001,"Aedes.albopictus",0,0
"Cfall",2001,"Aedes.atropalpus",0,0
"Cfall",2001,"Aedes.canadensis",0,0
"Cfall",2001,"Aedes.dorsalis",0,0
"Cfall",2001,"Aedes.hendersoni",0,0
"Cfall",2001,"Aedes.japonicus",0,0
"Cfall",2001,"Aedes.nigromaculis",1,0.00134770889487871
"Cfall",2001,"Aedes.sollicitans",0,0
"Cfall",2001,"Aedes.stimulans",0,0
"Cfall",2001,"Aedes.sticticus",0,0
"Cfall",2001,"Aedes.triseriatus",5,0.00673854447439353
"Cfall",2001,"Aedes.trivittatus",11,0.0148247978436658
"Cfall",2001,"Aedes.vexans",655,0.882749326145553
"Cfall",2001,"Aedes.vexans.nipponii",0,0
"Cfall",2001,"Anopheles.barberi",0,0
"Cfall",2001,"Anopheles.punctipennis",7,0.00943396226415094
"Cfall",2001,"Anopheles.quadrimaculatus",0,0
"Cfall",2001,"Anopheles.walkeri",0,0
"Cfall",2001,"Coquilletidia.perturbans",0,0
"Cfall",2001,"Culex.erraticus",0,0
"Cfall",2001,"Culex.pipiens.group",34,0.045822102425876
"Cfall",2001,"Culex.salinarius",0,0
"Cfall",2001,"Culex.tarsalis",19,0.0256064690026954
"Cfall",2001,"Culex.territans",1,0.00134770889487871
"Cfall",2001,"Culiseta.impatiens",0,0
"Cfall",2001,"Culiseta.inornata",4,0.00539083557951483
"Cfall",2001,"Culiseta.minnesotae",0,0
"Cfall",2001,"Orthopodomyia.alba",0,0
"Cfall",2001,"Orthopodomyia.signifera",0,0
"Cfall",2001,"Psorophora.ciliata",0,0
"Cfall",2001,"Psorophora.columbiae",0,0
"Cfall",2001,"Psorophora.cyanescens",0,0
"Cfall",2001,"Psorophora.ferox",0,0
"Cfall",2001,"Psorophora.horrida",0,0
"Cfall",2001,"Psorophora.signipennis",0,0
"Cfall",2001,"Uranotaenia.sapphirina",5,0.00673854447439353
"Cfall",2002,"Aedes.albopictus",0,0
"Cfall",2002,"Aedes.atropalpus",0,0
"Cfall",2002,"Aedes.canadensis",0,0
"Cfall",2002,"Aedes.dorsalis",0,0
"Cfall",2002,"Aedes.hendersoni",0,0
"Cfall",2002,"Aedes.japonicus",0,0
"Cfall",2002,"Aedes.nigromaculis",0,0
"Cfall",2002,"Aedes.sollicitans",0,0
"Cfall",2002,"Aedes.stimulans",0,0
"Cfall",2002,"Aedes.sticticus",0,0
"Cfall",2002,"Aedes.triseriatus",0,0
"Cfall",2002,"Aedes.trivittatus",1,0.00293255131964809
"Cfall",2002,"Aedes.vexans",324,0.950146627565982
"Cfall",2002,"Aedes.vexans.nipponii",0,0
"Cfall",2002,"Anopheles.barberi",0,0
"Cfall",2002,"Anopheles.punctipennis",2,0.00586510263929619
"Cfall",2002,"Anopheles.quadrimaculatus",0,0
"Cfall",2002,"Anopheles.walkeri",0,0
"Cfall",2002,"Coquilletidia.perturbans",0,0
"Cfall",2002,"Culex.erraticus",0,0
"Cfall",2002,"Culex.pipiens.group",7,0.0205278592375367
"Cfall",2002,"Culex.salinarius",0,0
"Cfall",2002,"Culex.tarsalis",5,0.0146627565982405
"Cfall",2002,"Culex.territans",0,0
"Cfall",2002,"Culiseta.impatiens",0,0
"Cfall",2002,"Culiseta.inornata",2,0.00586510263929619
"Cfall",2002,"Culiseta.minnesotae",0,0
"Cfall",2002,"Orthopodomyia.alba",0,0
"Cfall",2002,"Orthopodomyia.signifera",0,0
"Cfall",2002,"Psorophora.ciliata",0,0
"Cfall",2002,"Psorophora.columbiae",0,0
"Cfall",2002,"Psorophora.cyanescens",0,0
"Cfall",2002,"Psorophora.ferox",0,0
"Cfall",2002,"Psorophora.horrida",0,0
"Cfall",2002,"Psorophora.signipennis",0,0
"Cfall",2002,"Uranotaenia.sapphirina",0,0
"Cfall",2003,"Aedes.albopictus",0,0
"Cfall",2003,"Aedes.atropalpus",1,0.00099304865938431
"Cfall",2003,"Aedes.canadensis",0,0
"Cfall",2003,"Aedes.dorsalis",0,0
"Cfall",2003,"Aedes.hendersoni",0,0
"Cfall",2003,"Aedes.japonicus",0,0
"Cfall",2003,"Aedes.nigromaculis",0,0
"Cfall",2003,"Aedes.sollicitans",1,0.00099304865938431
"Cfall",2003,"Aedes.stimulans",0,0
"Cfall",2003,"Aedes.sticticus",0,0
"Cfall",2003,"Aedes.triseriatus",0,0
"Cfall",2003,"Aedes.trivittatus",24,0.0238331678252234
"Cfall",2003,"Aedes.vexans",948,0.941410129096326
"Cfall",2003,"Aedes.vexans.nipponii",0,0
"Cfall",2003,"Anopheles.barberi",0,0
"Cfall",2003,"Anopheles.punctipennis",2,0.00198609731876862
"Cfall",2003,"Anopheles.quadrimaculatus",0,0
"Cfall",2003,"Anopheles.walkeri",0,0
"Cfall",2003,"Coquilletidia.perturbans",0,0
"Cfall",2003,"Culex.erraticus",0,0
"Cfall",2003,"Culex.pipiens.group",16,0.015888778550149
"Cfall",2003,"Culex.salinarius",0,0
"Cfall",2003,"Culex.tarsalis",5,0.00496524329692155
"Cfall",2003,"Culex.territans",0,0
"Cfall",2003,"Culiseta.impatiens",0,0
"Cfall",2003,"Culiseta.inornata",8,0.00794438927507448
"Cfall",2003,"Culiseta.minnesotae",0,0
"Cfall",2003,"Orthopodomyia.alba",0,0
"Cfall",2003,"Orthopodomyia.signifera",0,0
"Cfall",2003,"Psorophora.ciliata",0,0
"Cfall",2003,"Psorophora.columbiae",0,0
"Cfall",2003,"Psorophora.cyanescens",0,0
"Cfall",2003,"Psorophora.ferox",0,0
"Cfall",2003,"Psorophora.horrida",0,0
"Cfall",2003,"Psorophora.signipennis",0,0
"Cfall",2003,"Uranotaenia.sapphirina",2,0.00198609731876862
"Cfall",2004,"Aedes.albopictus",0,0
"Cfall",2004,"Aedes.atropalpus",0,0
"Cfall",2004,"Aedes.canadensis",0,0
"Cfall",2004,"Aedes.dorsalis",1,0.00341296928327645
"Cfall",2004,"Aedes.hendersoni",0,0
"Cfall",2004,"Aedes.japonicus",0,0
"Cfall",2004,"Aedes.nigromaculis",0,0
"Cfall",2004,"Aedes.sollicitans",0,0
"Cfall",2004,"Aedes.stimulans",0,0
"Cfall",2004,"Aedes.sticticus",0,0
"Cfall",2004,"Aedes.triseriatus",0,0
"Cfall",2004,"Aedes.trivittatus",24,0.0819112627986348
"Cfall",2004,"Aedes.vexans",249,0.849829351535836
"Cfall",2004,"Aedes.vexans.nipponii",0,0
"Cfall",2004,"Anopheles.barberi",0,0
"Cfall",2004,"Anopheles.punctipennis",2,0.0068259385665529
"Cfall",2004,"Anopheles.quadrimaculatus",0,0
"Cfall",2004,"Anopheles.walkeri",0,0
"Cfall",2004,"Coquilletidia.perturbans",0,0
"Cfall",2004,"Culex.erraticus",0,0
"Cfall",2004,"Culex.pipiens.group",8,0.0273037542662116
"Cfall",2004,"Culex.salinarius",7,0.0238907849829352
"Cfall",2004,"Culex.tarsalis",0,0
"Cfall",2004,"Culex.territans",0,0
"Cfall",2004,"Culiseta.impatiens",0,0
"Cfall",2004,"Culiseta.inornata",2,0.0068259385665529
"Cfall",2004,"Culiseta.minnesotae",0,0
"Cfall",2004,"Orthopodomyia.alba",0,0
"Cfall",2004,"Orthopodomyia.signifera",0,0
"Cfall",2004,"Psorophora.ciliata",0,0
"Cfall",2004,"Psorophora.columbiae",0,0
"Cfall",2004,"Psorophora.cyanescens",0,0
"Cfall",2004,"Psorophora.ferox",0,0
"Cfall",2004,"Psorophora.horrida",0,0
"Cfall",2004,"Psorophora.signipennis",0,0
"Cfall",2004,"Uranotaenia.sapphirina",0,0
"Cfall",2005,"Aedes.albopictus",0,0
"Cfall",2005,"Aedes.atropalpus",0,0
"Cfall",2005,"Aedes.canadensis",0,0
"Cfall",2005,"Aedes.dorsalis",0,0
"Cfall",2005,"Aedes.hendersoni",0,0
"Cfall",2005,"Aedes.japonicus",0,0
"Cfall",2005,"Aedes.nigromaculis",0,0
"Cfall",2005,"Aedes.sollicitans",2,0.0018348623853211
"Cfall",2005,"Aedes.stimulans",0,0
"Cfall",2005,"Aedes.sticticus",0,0
"Cfall",2005,"Aedes.triseriatus",1,0.000917431192660551
"Cfall",2005,"Aedes.trivittatus",85,0.0779816513761468
"Cfall",2005,"Aedes.vexans",960,0.880733944954128
"Cfall",2005,"Aedes.vexans.nipponii",0,0
"Cfall",2005,"Anopheles.barberi",0,0
"Cfall",2005,"Anopheles.punctipennis",3,0.00275229357798165
"Cfall",2005,"Anopheles.quadrimaculatus",0,0
"Cfall",2005,"Anopheles.walkeri",0,0
"Cfall",2005,"Coquilletidia.perturbans",0,0
"Cfall",2005,"Culex.erraticus",0,0
"Cfall",2005,"Culex.pipiens.group",23,0.0211009174311927
"Cfall",2005,"Culex.salinarius",0,0
"Cfall",2005,"Culex.tarsalis",7,0.00642201834862385
"Cfall",2005,"Culex.territans",1,0.000917431192660551
"Cfall",2005,"Culiseta.impatiens",0,0
"Cfall",2005,"Culiseta.inornata",6,0.0055045871559633
"Cfall",2005,"Culiseta.minnesotae",0,0
"Cfall",2005,"Orthopodomyia.alba",0,0
"Cfall",2005,"Orthopodomyia.signifera",0,0
"Cfall",2005,"Psorophora.ciliata",0,0
"Cfall",2005,"Psorophora.columbiae",0,0
"Cfall",2005,"Psorophora.cyanescens",0,0
"Cfall",2005,"Psorophora.ferox",0,0
"Cfall",2005,"Psorophora.horrida",0,0
"Cfall",2005,"Psorophora.signipennis",0,0
"Cfall",2005,"Uranotaenia.sapphirina",2,0.0018348623853211
"Cfall",2006,"Aedes.albopictus",0,0
"Cfall",2006,"Aedes.atropalpus",0,0
"Cfall",2006,"Aedes.canadensis",0,0
"Cfall",2006,"Aedes.dorsalis",0,0
"Cfall",2006,"Aedes.hendersoni",0,0
"Cfall",2006,"Aedes.japonicus",0,0
"Cfall",2006,"Aedes.nigromaculis",0,0
"Cfall",2006,"Aedes.sollicitans",0,0
"Cfall",2006,"Aedes.stimulans",0,0
"Cfall",2006,"Aedes.sticticus",0,0
"Cfall",2006,"Aedes.triseriatus",0,0
"Cfall",2006,"Aedes.trivittatus",1,0.0357142857142857
"Cfall",2006,"Aedes.vexans",24,0.857142857142857
"Cfall",2006,"Aedes.vexans.nipponii",0,0
"Cfall",2006,"Anopheles.barberi",0,0
"Cfall",2006,"Anopheles.punctipennis",0,0
"Cfall",2006,"Anopheles.quadrimaculatus",0,0
"Cfall",2006,"Anopheles.walkeri",0,0
"Cfall",2006,"Coquilletidia.perturbans",0,0
"Cfall",2006,"Culex.erraticus",0,0
"Cfall",2006,"Culex.pipiens.group",1,0.0357142857142857
"Cfall",2006,"Culex.salinarius",0,0
"Cfall",2006,"Culex.tarsalis",0,0
"Cfall",2006,"Culex.territans",0,0
"Cfall",2006,"Culiseta.impatiens",0,0
"Cfall",2006,"Culiseta.inornata",2,0.0714285714285714
"Cfall",2006,"Culiseta.minnesotae",0,0
"Cfall",2006,"Orthopodomyia.alba",0,0
"Cfall",2006,"Orthopodomyia.signifera",0,0
"Cfall",2006,"Psorophora.ciliata",0,0
"Cfall",2006,"Psorophora.columbiae",0,0
"Cfall",2006,"Psorophora.cyanescens",0,0
"Cfall",2006,"Psorophora.ferox",0,0
"Cfall",2006,"Psorophora.horrida",0,0
"Cfall",2006,"Psorophora.signipennis",0,0
"Cfall",2006,"Uranotaenia.sapphirina",0,0
"Cfall",2007,"Aedes.albopictus",0,0
"Cfall",2007,"Aedes.atropalpus",0,0
"Cfall",2007,"Aedes.canadensis",0,0
"Cfall",2007,"Aedes.dorsalis",0,0
"Cfall",2007,"Aedes.hendersoni",0,0
"Cfall",2007,"Aedes.japonicus",0,0
"Cfall",2007,"Aedes.nigromaculis",0,0
"Cfall",2007,"Aedes.sollicitans",2,0.00145878920495988
"Cfall",2007,"Aedes.stimulans",0,0
"Cfall",2007,"Aedes.sticticus",0,0
"Cfall",2007,"Aedes.triseriatus",0,0
"Cfall",2007,"Aedes.trivittatus",36,0.0262582056892779
"Cfall",2007,"Aedes.vexans",1240,0.904449307075128
"Cfall",2007,"Aedes.vexans.nipponii",0,0
"Cfall",2007,"Anopheles.barberi",0,0
"Cfall",2007,"Anopheles.punctipennis",4,0.00291757840991977
"Cfall",2007,"Anopheles.quadrimaculatus",2,0.00145878920495988
"Cfall",2007,"Anopheles.walkeri",0,0
"Cfall",2007,"Coquilletidia.perturbans",0,0
"Cfall",2007,"Culex.erraticus",0,0
"Cfall",2007,"Culex.pipiens.group",40,0.0291757840991977
"Cfall",2007,"Culex.salinarius",0,0
"Cfall",2007,"Culex.tarsalis",21,0.0153172866520788
"Cfall",2007,"Culex.territans",0,0
"Cfall",2007,"Culiseta.impatiens",0,0
"Cfall",2007,"Culiseta.inornata",25,0.0182348650619985
"Cfall",2007,"Culiseta.minnesotae",0,0
"Cfall",2007,"Orthopodomyia.alba",0,0
"Cfall",2007,"Orthopodomyia.signifera",0,0
"Cfall",2007,"Psorophora.ciliata",0,0
"Cfall",2007,"Psorophora.columbiae",0,0
"Cfall",2007,"Psorophora.cyanescens",0,0
"Cfall",2007,"Psorophora.ferox",0,0
"Cfall",2007,"Psorophora.horrida",0,0
"Cfall",2007,"Psorophora.signipennis",0,0
"Cfall",2007,"Uranotaenia.sapphirina",1,0.000729394602479942
"Cfall",2008,"Aedes.albopictus",0,0
"Cfall",2008,"Aedes.atropalpus",0,0
"Cfall",2008,"Aedes.canadensis",0,0
"Cfall",2008,"Aedes.dorsalis",0,0
"Cfall",2008,"Aedes.hendersoni",0,0
"Cfall",2008,"Aedes.japonicus",0,0
"Cfall",2008,"Aedes.nigromaculis",0,0
"Cfall",2008,"Aedes.sollicitans",0,0
"Cfall",2008,"Aedes.stimulans",0,0
"Cfall",2008,"Aedes.sticticus",0,0
"Cfall",2008,"Aedes.triseriatus",15,0.0557620817843866
"Cfall",2008,"Aedes.trivittatus",13,0.0483271375464684
"Cfall",2008,"Aedes.vexans",184,0.684014869888476
"Cfall",2008,"Aedes.vexans.nipponii",0,0
"Cfall",2008,"Anopheles.barberi",0,0
"Cfall",2008,"Anopheles.punctipennis",8,0.0297397769516729
"Cfall",2008,"Anopheles.quadrimaculatus",4,0.0148698884758364
"Cfall",2008,"Anopheles.walkeri",0,0
"Cfall",2008,"Coquilletidia.perturbans",0,0
"Cfall",2008,"Culex.erraticus",0,0
