"location","week.lu","variable","V1"
"BK-Cedar Falls (Hartman Reserve)",21,"Aedes.atropalpus",0
"BK-Cedar Falls (Hartman Reserve)",21,"Aedes.canadensis",0
"BK-Cedar Falls (Hartman Reserve)",21,"Aedes.dorsalis",0
"BK-Cedar Falls (Hartman Reserve)",21,"Aedes.hendersoni",0
"BK-Cedar Falls (Hartman Reserve)",21,"Aedes.japonicus",0
"BK-Cedar Falls (Hartman Reserve)",21,"Aedes.nigromaculis",0
"BK-Cedar Falls (Hartman Reserve)",21,"Aedes.sollicitans",0
"BK-Cedar Falls (Hartman Reserve)",21,"Aedes.sticticus",0
"BK-Cedar Falls (Hartman Reserve)",21,"Aedes.stimulans",0
"BK-Cedar Falls (Hartman Reserve)",21,"Aedes.triseriatus",0
"BK-Cedar Falls (Hartman Reserve)",21,"Aedes.trivittatus",0
"BK-Cedar Falls (Hartman Reserve)",21,"Aedes.vexans",0
"BK-Cedar Falls (Hartman Reserve)",21,"Aedes.vexans.nipponii",0
"BK-Cedar Falls (Hartman Reserve)",21,"Anopheles.barberi",0
"BK-Cedar Falls (Hartman Reserve)",21,"Anopheles.punctipennis",0
"BK-Cedar Falls (Hartman Reserve)",21,"Anopheles.quadrimaculatus",0
"BK-Cedar Falls (Hartman Reserve)",21,"Anopheles.walkeri",0
"BK-Cedar Falls (Hartman Reserve)",21,"Coquilletidia.perturbans",0
"BK-Cedar Falls (Hartman Reserve)",21,"Culex.erraticus",0
"BK-Cedar Falls (Hartman Reserve)",21,"Culex.pipiens.group",29
"BK-Cedar Falls (Hartman Reserve)",21,"Culex.salinarius",0
"BK-Cedar Falls (Hartman Reserve)",21,"Culex.tarsalis",0
"BK-Cedar Falls (Hartman Reserve)",21,"Culex.territans",0
"BK-Cedar Falls (Hartman Reserve)",21,"Culiseta.impatiens",0
"BK-Cedar Falls (Hartman Reserve)",21,"Culiseta.inornata",0.333333333333333
"BK-Cedar Falls (Hartman Reserve)",21,"Culiseta.minnesotae",0
"BK-Cedar Falls (Hartman Reserve)",21,"Orthopodomyia.alba",0
"BK-Cedar Falls (Hartman Reserve)",21,"Orthopodomyia.signifera",0
"BK-Cedar Falls (Hartman Reserve)",21,"Psorophora.ciliata",0
"BK-Cedar Falls (Hartman Reserve)",21,"Psorophora.columbiae",0
"BK-Cedar Falls (Hartman Reserve)",21,"Psorophora.cyanescens",0
"BK-Cedar Falls (Hartman Reserve)",21,"Psorophora.ferox",0
"BK-Cedar Falls (Hartman Reserve)",21,"Psorophora.horrida",0
"BK-Cedar Falls (Hartman Reserve)",21,"Psorophora.signipennis",0
"BK-Cedar Falls (Hartman Reserve)",21,"Uranotaenia.sapphirina",0
"BK-Cedar Falls (Hartman Reserve)",22,"Aedes.albopictus",0.666666666666667
"BK-Cedar Falls (Hartman Reserve)",22,"Aedes.atropalpus",0.666666666666667
"BK-Cedar Falls (Hartman Reserve)",22,"Aedes.canadensis",0.666666666666667
"BK-Cedar Falls (Hartman Reserve)",22,"Aedes.dorsalis",0.666666666666667
"BK-Cedar Falls (Hartman Reserve)",22,"Aedes.hendersoni",0
"BK-Cedar Falls (Hartman Reserve)",22,"Aedes.japonicus",0
"BK-Cedar Falls (Hartman Reserve)",22,"Aedes.nigromaculis",0.666666666666667
"BK-Cedar Falls (Hartman Reserve)",22,"Aedes.sollicitans",0.666666666666667
"BK-Cedar Falls (Hartman Reserve)",22,"Aedes.sticticus",0.666666666666667
"BK-Cedar Falls (Hartman Reserve)",22,"Aedes.stimulans",0.666666666666667
"BK-Cedar Falls (Hartman Reserve)",22,"Aedes.triseriatus",0.666666666666667
"BK-Cedar Falls (Hartman Reserve)",22,"Aedes.trivittatus",3.33166666666667
"BK-Cedar Falls (Hartman Reserve)",22,"Aedes.vexans",66.6666666666667
"BK-Cedar Falls (Hartman Reserve)",22,"Aedes.vexans.nipponii",0
"BK-Cedar Falls (Hartman Reserve)",22,"Anopheles.barberi",0.666666666666667
"BK-Cedar Falls (Hartman Reserve)",22,"Anopheles.punctipennis",0.666666666666667
"BK-Cedar Falls (Hartman Reserve)",22,"Anopheles.quadrimaculatus",0.666666666666667
"BK-Cedar Falls (Hartman Reserve)",22,"Anopheles.walkeri",0.666666666666667
"BK-Cedar Falls (Hartman Reserve)",22,"Coquilletidia.perturbans",0.666666666666667
"BK-Cedar Falls (Hartman Reserve)",22,"Culex.erraticus",0.666666666666667
"BK-Cedar Falls (Hartman Reserve)",22,"Culex.pipiens.group",2.49833333333333
"BK-Cedar Falls (Hartman Reserve)",22,"Culex.salinarius",0
"BK-Cedar Falls (Hartman Reserve)",22,"Culex.tarsalis",0.666666666666667
"BK-Cedar Falls (Hartman Reserve)",22,"Culex.territans",0.666666666666667
"BK-Cedar Falls (Hartman Reserve)",22,"Culiseta.impatiens",0.666666666666667
"BK-Cedar Falls (Hartman Reserve)",22,"Culiseta.inornata",3.665
"BK-Cedar Falls (Hartman Reserve)",22,"Culiseta.minnesotae",0
"BK-Cedar Falls (Hartman Reserve)",22,"Orthopodomyia.alba",0
"BK-Cedar Falls (Hartman Reserve)",22,"Orthopodomyia.signifera",0.666666666666667
"BK-Cedar Falls (Hartman Reserve)",22,"Psorophora.ciliata",0.666666666666667
"BK-Cedar Falls (Hartman Reserve)",22,"Psorophora.columbiae",0.666666666666667
"BK-Cedar Falls (Hartman Reserve)",22,"Psorophora.cyanescens",0
"BK-Cedar Falls (Hartman Reserve)",22,"Psorophora.ferox",0.666666666666667
"BK-Cedar Falls (Hartman Reserve)",22,"Psorophora.horrida",0.666666666666667
"BK-Cedar Falls (Hartman Reserve)",22,"Psorophora.signipennis",0.666666666666667
"BK-Cedar Falls (Hartman Reserve)",22,"Uranotaenia.sapphirina",0.666666666666667
"BK-Cedar Falls (Hartman Reserve)",23,"Aedes.albopictus",0.866666666666667
"BK-Cedar Falls (Hartman Reserve)",23,"Aedes.atropalpus",0.866666666666667
"BK-Cedar Falls (Hartman Reserve)",23,"Aedes.canadensis",0.866666666666667
"BK-Cedar Falls (Hartman Reserve)",23,"Aedes.dorsalis",0.866666666666667
"BK-Cedar Falls (Hartman Reserve)",23,"Aedes.hendersoni",0
"BK-Cedar Falls (Hartman Reserve)",23,"Aedes.japonicus",0
"BK-Cedar Falls (Hartman Reserve)",23,"Aedes.nigromaculis",0.866666666666667
"BK-Cedar Falls (Hartman Reserve)",23,"Aedes.sollicitans",0.866666666666667
"BK-Cedar Falls (Hartman Reserve)",23,"Aedes.sticticus",0.933333333333333
"BK-Cedar Falls (Hartman Reserve)",23,"Aedes.stimulans",0.866666666666667
"BK-Cedar Falls (Hartman Reserve)",23,"Aedes.triseriatus",0.866666666666667
"BK-Cedar Falls (Hartman Reserve)",23,"Aedes.trivittatus",13.4666666666667
"BK-Cedar Falls (Hartman Reserve)",23,"Aedes.vexans",103.534666666667
"BK-Cedar Falls (Hartman Reserve)",23,"Aedes.vexans.nipponii",0
"BK-Cedar Falls (Hartman Reserve)",23,"Anopheles.barberi",0.866666666666667
"BK-Cedar Falls (Hartman Reserve)",23,"Anopheles.punctipennis",0.866666666666667
"BK-Cedar Falls (Hartman Reserve)",23,"Anopheles.quadrimaculatus",0.933333333333333
"BK-Cedar Falls (Hartman Reserve)",23,"Anopheles.walkeri",0.866666666666667
"BK-Cedar Falls (Hartman Reserve)",23,"Coquilletidia.perturbans",0.866666666666667
"BK-Cedar Falls (Hartman Reserve)",23,"Culex.erraticus",0.866666666666667
"BK-Cedar Falls (Hartman Reserve)",23,"Culex.pipiens.group",5.334
"BK-Cedar Falls (Hartman Reserve)",23,"Culex.salinarius",0
"BK-Cedar Falls (Hartman Reserve)",23,"Culex.tarsalis",0.932666666666667
"BK-Cedar Falls (Hartman Reserve)",23,"Culex.territans",1.13333333333333
"BK-Cedar Falls (Hartman Reserve)",23,"Culiseta.impatiens",0.866666666666667
"BK-Cedar Falls (Hartman Reserve)",23,"Culiseta.inornata",3.13266666666667
"BK-Cedar Falls (Hartman Reserve)",23,"Culiseta.minnesotae",0
"BK-Cedar Falls (Hartman Reserve)",23,"Orthopodomyia.alba",0
"BK-Cedar Falls (Hartman Reserve)",23,"Orthopodomyia.signifera",0.866666666666667
"BK-Cedar Falls (Hartman Reserve)",23,"Psorophora.ciliata",0.866666666666667
"BK-Cedar Falls (Hartman Reserve)",23,"Psorophora.columbiae",0.866666666666667
"BK-Cedar Falls (Hartman Reserve)",23,"Psorophora.cyanescens",0
"BK-Cedar Falls (Hartman Reserve)",23,"Psorophora.ferox",0.866666666666667
"BK-Cedar Falls (Hartman Reserve)",23,"Psorophora.horrida",0.866666666666667
"BK-Cedar Falls (Hartman Reserve)",23,"Psorophora.signipennis",0.866666666666667
"BK-Cedar Falls (Hartman Reserve)",23,"Uranotaenia.sapphirina",1.13333333333333
"BK-Cedar Falls (Hartman Reserve)",24,"Aedes.albopictus",0.941176470588235
"BK-Cedar Falls (Hartman Reserve)",24,"Aedes.atropalpus",0.941176470588235
"BK-Cedar Falls (Hartman Reserve)",24,"Aedes.canadensis",0.941176470588235
"BK-Cedar Falls (Hartman Reserve)",24,"Aedes.dorsalis",0.941176470588235
"BK-Cedar Falls (Hartman Reserve)",24,"Aedes.hendersoni",0
"BK-Cedar Falls (Hartman Reserve)",24,"Aedes.japonicus",0
"BK-Cedar Falls (Hartman Reserve)",24,"Aedes.nigromaculis",0.941176470588235
"BK-Cedar Falls (Hartman Reserve)",24,"Aedes.sollicitans",0.941176470588235
"BK-Cedar Falls (Hartman Reserve)",24,"Aedes.sticticus",1.47058823529412
"BK-Cedar Falls (Hartman Reserve)",24,"Aedes.stimulans",0.941176470588235
"BK-Cedar Falls (Hartman Reserve)",24,"Aedes.triseriatus",1.35294117647059
"BK-Cedar Falls (Hartman Reserve)",24,"Aedes.trivittatus",10.7941176470588
"BK-Cedar Falls (Hartman Reserve)",24,"Aedes.vexans",138.634117647059
"BK-Cedar Falls (Hartman Reserve)",24,"Aedes.vexans.nipponii",0
"BK-Cedar Falls (Hartman Reserve)",24,"Anopheles.barberi",0.941176470588235
"BK-Cedar Falls (Hartman Reserve)",24,"Anopheles.punctipennis",1.05882352941176
"BK-Cedar Falls (Hartman Reserve)",24,"Anopheles.quadrimaculatus",0.941176470588235
"BK-Cedar Falls (Hartman Reserve)",24,"Anopheles.walkeri",0.941176470588235
"BK-Cedar Falls (Hartman Reserve)",24,"Coquilletidia.perturbans",0.941176470588235
"BK-Cedar Falls (Hartman Reserve)",24,"Culex.erraticus",0.941176470588235
"BK-Cedar Falls (Hartman Reserve)",24,"Culex.pipiens.group",5.82235294117647
"BK-Cedar Falls (Hartman Reserve)",24,"Culex.salinarius",0
"BK-Cedar Falls (Hartman Reserve)",24,"Culex.tarsalis",1.05823529411765
"BK-Cedar Falls (Hartman Reserve)",24,"Culex.territans",0.941176470588235
"BK-Cedar Falls (Hartman Reserve)",24,"Culiseta.impatiens",0.941176470588235
"BK-Cedar Falls (Hartman Reserve)",24,"Culiseta.inornata",3.48529411764706
"BK-Cedar Falls (Hartman Reserve)",24,"Culiseta.minnesotae",0
"BK-Cedar Falls (Hartman Reserve)",24,"Orthopodomyia.alba",0
"BK-Cedar Falls (Hartman Reserve)",24,"Orthopodomyia.signifera",0.941176470588235
"BK-Cedar Falls (Hartman Reserve)",24,"Psorophora.ciliata",0.941176470588235
"BK-Cedar Falls (Hartman Reserve)",24,"Psorophora.columbiae",0.941176470588235
"BK-Cedar Falls (Hartman Reserve)",24,"Psorophora.cyanescens",0
"BK-Cedar Falls (Hartman Reserve)",24,"Psorophora.ferox",0.941176470588235
"BK-Cedar Falls (Hartman Reserve)",24,"Psorophora.horrida",0.941176470588235
"BK-Cedar Falls (Hartman Reserve)",24,"Psorophora.signipennis",0.941176470588235
"BK-Cedar Falls (Hartman Reserve)",24,"Uranotaenia.sapphirina",0.941176470588235
"BK-Cedar Falls (Hartman Reserve)",25,"Aedes.albopictus",0.736842105263158
"BK-Cedar Falls (Hartman Reserve)",25,"Aedes.atropalpus",0.736842105263158
"BK-Cedar Falls (Hartman Reserve)",25,"Aedes.canadensis",0.736842105263158
"BK-Cedar Falls (Hartman Reserve)",25,"Aedes.dorsalis",0.736842105263158
"BK-Cedar Falls (Hartman Reserve)",25,"Aedes.hendersoni",0
"BK-Cedar Falls (Hartman Reserve)",25,"Aedes.japonicus",0
"BK-Cedar Falls (Hartman Reserve)",25,"Aedes.nigromaculis",0.736842105263158
"BK-Cedar Falls (Hartman Reserve)",25,"Aedes.sollicitans",0.736842105263158
"BK-Cedar Falls (Hartman Reserve)",25,"Aedes.sticticus",3.47368421052632
"BK-Cedar Falls (Hartman Reserve)",25,"Aedes.stimulans",0.736842105263158
"BK-Cedar Falls (Hartman Reserve)",25,"Aedes.triseriatus",0.736842105263158
"BK-Cedar Falls (Hartman Reserve)",25,"Aedes.trivittatus",7.5
"BK-Cedar Falls (Hartman Reserve)",25,"Aedes.vexans",121.872631578947
"BK-Cedar Falls (Hartman Reserve)",25,"Aedes.vexans.nipponii",0
"BK-Cedar Falls (Hartman Reserve)",25,"Anopheles.barberi",0.736842105263158
"BK-Cedar Falls (Hartman Reserve)",25,"Anopheles.punctipennis",1.31578947368421
"BK-Cedar Falls (Hartman Reserve)",25,"Anopheles.quadrimaculatus",0.789473684210526
"BK-Cedar Falls (Hartman Reserve)",25,"Anopheles.walkeri",0.736842105263158
"BK-Cedar Falls (Hartman Reserve)",25,"Coquilletidia.perturbans",0.736842105263158
"BK-Cedar Falls (Hartman Reserve)",25,"Culex.erraticus",0.736842105263158
"BK-Cedar Falls (Hartman Reserve)",25,"Culex.pipiens.group",9.78947368421053
"BK-Cedar Falls (Hartman Reserve)",25,"Culex.salinarius",0
"BK-Cedar Falls (Hartman Reserve)",25,"Culex.tarsalis",1
"BK-Cedar Falls (Hartman Reserve)",25,"Culex.territans",0.789473684210526
"BK-Cedar Falls (Hartman Reserve)",25,"Culiseta.impatiens",0.736842105263158
"BK-Cedar Falls (Hartman Reserve)",25,"Culiseta.inornata",2.93421052631579
"BK-Cedar Falls (Hartman Reserve)",25,"Culiseta.minnesotae",0
"BK-Cedar Falls (Hartman Reserve)",25,"Orthopodomyia.alba",0
"BK-Cedar Falls (Hartman Reserve)",25,"Orthopodomyia.signifera",0.736842105263158
"BK-Cedar Falls (Hartman Reserve)",25,"Psorophora.ciliata",0.736842105263158
"BK-Cedar Falls (Hartman Reserve)",25,"Psorophora.columbiae",0.736842105263158
"BK-Cedar Falls (Hartman Reserve)",25,"Psorophora.cyanescens",0
"BK-Cedar Falls (Hartman Reserve)",25,"Psorophora.ferox",0.736842105263158
"BK-Cedar Falls (Hartman Reserve)",25,"Psorophora.horrida",0.736842105263158
"BK-Cedar Falls (Hartman Reserve)",25,"Psorophora.signipennis",0.736842105263158
"BK-Cedar Falls (Hartman Reserve)",25,"Uranotaenia.sapphirina",0.789473684210526
"BK-Cedar Falls (Hartman Reserve)",26,"Aedes.albopictus",1.10526315789474
"BK-Cedar Falls (Hartman Reserve)",26,"Aedes.atropalpus",1.10526315789474
"BK-Cedar Falls (Hartman Reserve)",26,"Aedes.canadensis",1.10526315789474
"BK-Cedar Falls (Hartman Reserve)",26,"Aedes.dorsalis",1.10526315789474
"BK-Cedar Falls (Hartman Reserve)",26,"Aedes.hendersoni",0
"BK-Cedar Falls (Hartman Reserve)",26,"Aedes.japonicus",0
"BK-Cedar Falls (Hartman Reserve)",26,"Aedes.nigromaculis",1.10526315789474
"BK-Cedar Falls (Hartman Reserve)",26,"Aedes.sollicitans",1.10526315789474
"BK-Cedar Falls (Hartman Reserve)",26,"Aedes.sticticus",1.26315789473684
"BK-Cedar Falls (Hartman Reserve)",26,"Aedes.stimulans",1.10526315789474
"BK-Cedar Falls (Hartman Reserve)",26,"Aedes.triseriatus",1.68421052631579
"BK-Cedar Falls (Hartman Reserve)",26,"Aedes.trivittatus",5.71105263157895
"BK-Cedar Falls (Hartman Reserve)",26,"Aedes.vexans",167.061578947368
"BK-Cedar Falls (Hartman Reserve)",26,"Aedes.vexans.nipponii",0
"BK-Cedar Falls (Hartman Reserve)",26,"Anopheles.barberi",1.10526315789474
"BK-Cedar Falls (Hartman Reserve)",26,"Anopheles.punctipennis",1.52631578947368
"BK-Cedar Falls (Hartman Reserve)",26,"Anopheles.quadrimaculatus",1.10526315789474
"BK-Cedar Falls (Hartman Reserve)",26,"Anopheles.walkeri",1.10526315789474
"BK-Cedar Falls (Hartman Reserve)",26,"Coquilletidia.perturbans",1.21052631578947
"BK-Cedar Falls (Hartman Reserve)",26,"Culex.erraticus",1.10526315789474
"BK-Cedar Falls (Hartman Reserve)",26,"Culex.pipiens.group",10.3415789473684
"BK-Cedar Falls (Hartman Reserve)",26,"Culex.salinarius",0
"BK-Cedar Falls (Hartman Reserve)",26,"Culex.tarsalis",1.68421052631579
"BK-Cedar Falls (Hartman Reserve)",26,"Culex.territans",1.21052631578947
"BK-Cedar Falls (Hartman Reserve)",26,"Culiseta.impatiens",1.10526315789474
"BK-Cedar Falls (Hartman Reserve)",26,"Culiseta.inornata",1.31578947368421
"BK-Cedar Falls (Hartman Reserve)",26,"Culiseta.minnesotae",0
"BK-Cedar Falls (Hartman Reserve)",26,"Orthopodomyia.alba",0
"BK-Cedar Falls (Hartman Reserve)",26,"Orthopodomyia.signifera",1.10526315789474
"BK-Cedar Falls (Hartman Reserve)",26,"Psorophora.ciliata",1.10526315789474
"BK-Cedar Falls (Hartman Reserve)",26,"Psorophora.columbiae",1.10526315789474
"BK-Cedar Falls (Hartman Reserve)",26,"Psorophora.cyanescens",0
"BK-Cedar Falls (Hartman Reserve)",26,"Psorophora.ferox",1.10526315789474
"BK-Cedar Falls (Hartman Reserve)",26,"Psorophora.horrida",1.10526315789474
"BK-Cedar Falls (Hartman Reserve)",26,"Psorophora.signipennis",1.10526315789474
"BK-Cedar Falls (Hartman Reserve)",26,"Uranotaenia.sapphirina",1.10526315789474
"BK-Cedar Falls (Hartman Reserve)",27,"Aedes.albopictus",0.473684210526316
"BK-Cedar Falls (Hartman Reserve)",27,"Aedes.atropalpus",0.473684210526316
"BK-Cedar Falls (Hartman Reserve)",27,"Aedes.canadensis",0.473684210526316
"BK-Cedar Falls (Hartman Reserve)",27,"Aedes.dorsalis",0.631578947368421
"BK-Cedar Falls (Hartman Reserve)",27,"Aedes.hendersoni",0
"BK-Cedar Falls (Hartman Reserve)",27,"Aedes.japonicus",0
"BK-Cedar Falls (Hartman Reserve)",27,"Aedes.nigromaculis",0.473684210526316
"BK-Cedar Falls (Hartman Reserve)",27,"Aedes.sollicitans",0.473684210526316
"BK-Cedar Falls (Hartman Reserve)",27,"Aedes.sticticus",0.473684210526316
"BK-Cedar Falls (Hartman Reserve)",27,"Aedes.stimulans",0.473684210526316
"BK-Cedar Falls (Hartman Reserve)",27,"Aedes.triseriatus",0.526315789473684
"BK-Cedar Falls (Hartman Reserve)",27,"Aedes.trivittatus",13.3415789473684
"BK-Cedar Falls (Hartman Reserve)",27,"Aedes.vexans",160.986842105263
"BK-Cedar Falls (Hartman Reserve)",27,"Aedes.vexans.nipponii",0
"BK-Cedar Falls (Hartman Reserve)",27,"Anopheles.barberi",0.473684210526316
"BK-Cedar Falls (Hartman Reserve)",27,"Anopheles.punctipennis",0.894736842105263
"BK-Cedar Falls (Hartman Reserve)",27,"Anopheles.quadrimaculatus",0.526315789473684
"BK-Cedar Falls (Hartman Reserve)",27,"Anopheles.walkeri",0.473684210526316
"BK-Cedar Falls (Hartman Reserve)",27,"Coquilletidia.perturbans",0.789473684210526
"BK-Cedar Falls (Hartman Reserve)",27,"Culex.erraticus",0.473684210526316
"BK-Cedar Falls (Hartman Reserve)",27,"Culex.pipiens.group",7.02578947368421
"BK-Cedar Falls (Hartman Reserve)",27,"Culex.salinarius",0
"BK-Cedar Falls (Hartman Reserve)",27,"Culex.tarsalis",0.578947368421053
"BK-Cedar Falls (Hartman Reserve)",27,"Culex.territans",0.473684210526316
"BK-Cedar Falls (Hartman Reserve)",27,"Culiseta.impatiens",0.473684210526316
"BK-Cedar Falls (Hartman Reserve)",27,"Culiseta.inornata",0.631052631578947
"BK-Cedar Falls (Hartman Reserve)",27,"Culiseta.minnesotae",0
"BK-Cedar Falls (Hartman Reserve)",27,"Orthopodomyia.alba",0
"BK-Cedar Falls (Hartman Reserve)",27,"Orthopodomyia.signifera",0.473684210526316
"BK-Cedar Falls (Hartman Reserve)",27,"Psorophora.ciliata",0.473684210526316
"BK-Cedar Falls (Hartman Reserve)",27,"Psorophora.columbiae",0.473684210526316
"BK-Cedar Falls (Hartman Reserve)",27,"Psorophora.cyanescens",0
"BK-Cedar Falls (Hartman Reserve)",27,"Psorophora.ferox",0.473684210526316
"BK-Cedar Falls (Hartman Reserve)",27,"Psorophora.horrida",0.473684210526316
"BK-Cedar Falls (Hartman Reserve)",27,"Psorophora.signipennis",0.473684210526316
"BK-Cedar Falls (Hartman Reserve)",27,"Uranotaenia.sapphirina",0.631578947368421
"BK-Cedar Falls (Hartman Reserve)",28,"Aedes.albopictus",0.842105263157895
"BK-Cedar Falls (Hartman Reserve)",28,"Aedes.atropalpus",0.842105263157895
"BK-Cedar Falls (Hartman Reserve)",28,"Aedes.canadensis",0.842105263157895
"BK-Cedar Falls (Hartman Reserve)",28,"Aedes.dorsalis",0.842105263157895
"BK-Cedar Falls (Hartman Reserve)",28,"Aedes.hendersoni",0
"BK-Cedar Falls (Hartman Reserve)",28,"Aedes.japonicus",0
"BK-Cedar Falls (Hartman Reserve)",28,"Aedes.nigromaculis",0.894736842105263
"BK-Cedar Falls (Hartman Reserve)",28,"Aedes.sollicitans",1.01315789473684
"BK-Cedar Falls (Hartman Reserve)",28,"Aedes.sticticus",1
"BK-Cedar Falls (Hartman Reserve)",28,"Aedes.stimulans",0.842105263157895
"BK-Cedar Falls (Hartman Reserve)",28,"Aedes.triseriatus",0.947368421052632
"BK-Cedar Falls (Hartman Reserve)",28,"Aedes.trivittatus",15.6578947368421
"BK-Cedar Falls (Hartman Reserve)",28,"Aedes.vexans",201.276315789474
"BK-Cedar Falls (Hartman Reserve)",28,"Aedes.vexans.nipponii",0
"BK-Cedar Falls (Hartman Reserve)",28,"Anopheles.barberi",0.842105263157895
"BK-Cedar Falls (Hartman Reserve)",28,"Anopheles.punctipennis",1.42105263157895
"BK-Cedar Falls (Hartman Reserve)",28,"Anopheles.quadrimaculatus",0.842105263157895
"BK-Cedar Falls (Hartman Reserve)",28,"Anopheles.walkeri",0.842105263157895
"BK-Cedar Falls (Hartman Reserve)",28,"Coquilletidia.perturbans",1.55263157894737
"BK-Cedar Falls (Hartman Reserve)",28,"Culex.erraticus",0.842105263157895
"BK-Cedar Falls (Hartman Reserve)",28,"Culex.pipiens.group",6.07842105263158
"BK-Cedar Falls (Hartman Reserve)",28,"Culex.salinarius",0
"BK-Cedar Falls (Hartman Reserve)",28,"Culex.tarsalis",1.64473684210526
"BK-Cedar Falls (Hartman Reserve)",28,"Culex.territans",0.842105263157895
"BK-Cedar Falls (Hartman Reserve)",28,"Culiseta.impatiens",0.842105263157895
"BK-Cedar Falls (Hartman Reserve)",28,"Culiseta.inornata",0.894736842105263
"BK-Cedar Falls (Hartman Reserve)",28,"Culiseta.minnesotae",0
"BK-Cedar Falls (Hartman Reserve)",28,"Orthopodomyia.alba",0
"BK-Cedar Falls (Hartman Reserve)",28,"Orthopodomyia.signifera",0.842105263157895
"BK-Cedar Falls (Hartman Reserve)",28,"Psorophora.ciliata",0.842105263157895
"BK-Cedar Falls (Hartman Reserve)",28,"Psorophora.columbiae",0.842105263157895
"BK-Cedar Falls (Hartman Reserve)",28,"Psorophora.cyanescens",0
"BK-Cedar Falls (Hartman Reserve)",28,"Psorophora.ferox",0.842105263157895
"BK-Cedar Falls (Hartman Reserve)",28,"Psorophora.horrida",0.842105263157895
"BK-Cedar Falls (Hartman Reserve)",28,"Psorophora.signipennis",0.842105263157895
"BK-Cedar Falls (Hartman Reserve)",28,"Uranotaenia.sapphirina",0.842105263157895
"BK-Cedar Falls (Hartman Reserve)",29,"Aedes.albopictus",0.894736842105263
"BK-Cedar Falls (Hartman Reserve)",29,"Aedes.atropalpus",0.894736842105263
"BK-Cedar Falls (Hartman Reserve)",29,"Aedes.canadensis",0.894736842105263
"BK-Cedar Falls (Hartman Reserve)",29,"Aedes.dorsalis",0.894736842105263
"BK-Cedar Falls (Hartman Reserve)",29,"Aedes.hendersoni",0
"BK-Cedar Falls (Hartman Reserve)",29,"Aedes.japonicus",0
"BK-Cedar Falls (Hartman Reserve)",29,"Aedes.nigromaculis",0.894736842105263
"BK-Cedar Falls (Hartman Reserve)",29,"Aedes.sollicitans",0.934210526315789
"BK-Cedar Falls (Hartman Reserve)",29,"Aedes.sticticus",1.21052631578947
"BK-Cedar Falls (Hartman Reserve)",29,"Aedes.stimulans",0.894736842105263
"BK-Cedar Falls (Hartman Reserve)",29,"Aedes.triseriatus",1.63157894736842
